,n_cases,n_outbreak_cases,outbreak
2007-06-25,7,0,False
2007-07-02,0,0,False
2007-07-09,0,0,False
2007-07-16,3,0,False
2007-07-23,5,0,False
2007-07-30,4,0,False
2007-08-06,0,0,False
2007-08-13,2,0,False
2007-08-20,0,0,False
2007-08-27,1,0,False
2007-09-03,7,0,False
2007-09-10,6,0,False
2007-09-17,5,0,False
2007-09-24,3,0,False
2007-10-01,5,0,False
2007-10-08,1,0,False
2007-10-15,2,0,False
2007-10-22,4,0,False
2007-10-29,3,0,False
2007-11-05,3,0,False
2007-11-12,3,0,False
2007-11-19,4,0,False
2007-11-26,4,0,False
2007-12-03,13,0,False
2007-12-10,6,0,False
2007-12-17,2,0,False
2007-12-24,1,0,False
2007-12-31,1,0,False
2008-01-07,2,0,False
2008-01-14,0,0,False
2008-01-21,1,0,False
2008-01-28,1,0,False
2008-02-04,4,0,False
2008-02-11,3,0,False
2008-02-18,0,0,False
2008-02-25,1,0,False
2008-03-03,0,0,False
2008-03-10,0,0,False
2008-03-17,4,0,False
2008-03-24,1,0,False
2008-03-31,1,0,False
2008-04-07,2,0,False
2008-04-14,2,0,False
2008-04-21,2,0,False
2008-04-28,3,0,False
2008-05-05,0,0,False
2008-05-12,4,0,False
2008-05-19,2,0,False
2008-05-26,3,0,False
2008-06-02,3,0,False
2008-06-09,1,0,False
2008-06-16,2,0,False
2008-06-23,3,0,False
2008-06-30,3,0,False
2008-07-07,3,0,False
2008-07-14,2,0,False
2008-07-21,2,0,False
2008-07-28,8,0,False
2008-08-04,8,0,False
2008-08-11,2,0,False
2008-08-18,5,0,False
2008-08-25,3,0,False
2008-09-01,2,0,False
2008-09-08,4,0,False
2008-09-15,1,0,False
2008-09-22,3,0,False
2008-09-29,3,0,False
2008-10-06,4,0,False
2008-10-13,1,0,False
2008-10-20,5,0,False
2008-10-27,6,0,False
2008-11-03,5,0,False
2008-11-10,3,0,False
2008-11-17,3,0,False
2008-11-24,1,0,False
2008-12-01,2,0,False
2008-12-08,4,0,False
2008-12-15,1,0,False
2008-12-22,4,0,False
2008-12-29,0,0,False
2009-01-05,4,0,False
2009-01-12,0,0,False
2009-01-19,3,0,False
2009-01-26,2,0,False
2009-02-02,0,0,False
2009-02-09,0,0,False
2009-02-16,1,0,False
2009-02-23,1,0,False
2009-03-02,0,0,False
2009-03-09,1,0,False
2009-03-16,2,0,False
2009-03-23,2,0,False
2009-03-30,0,0,False
2009-04-06,1,0,False
2009-04-13,0,0,False
2009-04-20,1,0,False
2009-04-27,6,0,False
2009-05-04,2,0,False
2009-05-11,1,0,False
2009-05-18,5,0,False
2009-05-25,1,0,False
2009-06-01,2,0,False
2009-06-08,1,0,False
2009-06-15,0,0,False
2009-06-22,5,0,False
2009-06-29,0,0,False
2009-07-06,0,0,False
2009-07-13,3,0,False
2009-07-20,1,0,False
2009-07-27,2,0,False
2009-08-03,4,0,False
2009-08-10,3,0,False
2009-08-17,2,0,False
2009-08-24,3,0,False
2009-08-31,6,0,False
2009-09-07,4,0,False
2009-09-14,3,0,False
2009-09-21,2,0,False
2009-09-28,2,0,False
2009-10-05,2,0,False
2009-10-12,4,0,False
2009-10-19,7,0,False
2009-10-26,7,0,False
2009-11-02,3,0,False
2009-11-09,3,0,False
2009-11-16,1,0,False
2009-11-23,6,0,False
2009-11-30,1,0,False
2009-12-07,1,0,False
2009-12-14,1,0,False
2009-12-21,0,0,False
2009-12-28,0,0,False
2010-01-04,0,0,False
2010-01-11,1,0,False
2010-01-18,1,0,False
2010-01-25,2,0,False
2010-02-01,3,0,False
2010-02-08,1,0,False
2010-02-15,3,0,False
2010-02-22,1,0,False
2010-03-01,1,0,False
2010-03-08,1,0,False
2010-03-15,1,0,False
2010-03-22,0,0,False
2010-03-29,3,0,False
2010-04-05,1,0,False
2010-04-12,1,0,False
2010-04-19,1,0,False
2010-04-26,1,0,False
2010-05-03,1,0,False
2010-05-10,1,0,False
2010-05-17,0,0,False
2010-05-24,2,0,False
2010-05-31,2,0,False
2010-06-07,1,0,False
2010-06-14,2,0,False
2010-06-21,2,0,False
2010-06-28,2,0,False
2010-07-05,3,0,False
2010-07-12,3,0,False
2010-07-19,1,0,False
2010-07-26,2,0,False
2010-08-02,0,0,False
2010-08-09,3,0,False
2010-08-16,1,0,False
2010-08-23,3,0,False
2010-08-30,1,0,False
2010-09-06,2,0,False
2010-09-13,1,0,False
2010-09-20,2,0,False
2010-09-27,0,0,False
2010-10-04,0,0,False
2010-10-11,4,0,False
2010-10-18,3,0,False
2010-10-25,3,0,False
2010-11-01,5,0,False
2010-11-08,3,0,False
2010-11-15,1,0,False
2010-11-22,1,0,False
2010-11-29,1,0,False
2010-12-06,3,0,False
2010-12-13,3,0,False
2010-12-20,1,0,False
2010-12-27,2,0,False
